val_loss,val_mean_absolute_percentage_error,loss,mean_absolute_percentage_error
0.004403873959458188,1785328.387017237,0.008611431807189821,1605851.1835029947
0.00568690793311705,1978038.5497047852,0.004565585939191192,1348145.2725798164
0.00361338157517925,1706364.3138431772,0.003909926098849939,1271329.313746073
0.003670800439970785,1682128.2842702756,0.0035177814897643512,1233739.4822576537
0.003331879572623177,1759417.598090017,0.0032404018139623736,1177905.2584342498
0.003497236201569472,1817093.4643906346,0.002995714581717389,1122047.2561525202
0.0034243133179076204,1745306.6481168712,0.0029674683795142247,1091271.459090304
0.003541995489914439,1780467.6667347848,0.002854619104841567,1071805.4338138883
0.004355672653125134,1916829.2906750694,0.002813535022874733,1078500.0116599852
0.0034781610944843266,1667886.590611842,0.0028152373534099883,1059178.4412937835
0.003595211907573368,1688468.0460067373,0.0027908298399030086,1050496.2043586345
0.003448742398143974,1710681.7988485668,0.0027628531207678367,1052788.2803317518
0.0038560711388695703,1843167.9957215595,0.0027116399865417954,1052651.5055502576
0.003585702061942977,1778573.5945243507,0.002712270179426814,1047545.0942094403
0.0036354250396075454,1663209.655636471,0.0027007911143353187,1034600.0932044046
0.0036542354134557176,1752366.654001105,0.0026733940642282186,1006035.114865149
0.003776110761992855,1827064.1137882404,0.002693732716928584,1028761.5380237111
0.0035282645302076635,1722755.4610128992,0.002692013968466725,1035248.6480055476
0.003526517587502911,1689382.328179008,0.0026709016872547477,1019599.2925539857
0.0038656439127089364,1843885.6897156518,0.0026711482891296767,1030152.9888344096
0.0036119571034487516,1800023.528380789,0.0026662358309490135,1001709.3269681485
0.0034646415290181913,1750603.523703165,0.0026410611087164604,1007443.651660176
0.003488524889390174,1762647.7185296293,0.002643188831946218,1008938.4148336535
0.003479143076105303,1731794.7979894066,0.0026515467784715345,1013106.3918532953
0.0035974750065114734,1697769.3513812933,0.0026443266390587194,1007483.0519976954
0.003943607237752638,1661340.6766119832,0.0026269026652696622,1011245.1458095983
0.003975798650825869,1776608.2906923797,0.0026269244335322497,993666.4119338254
0.0038347889400711732,1705284.7254183504,0.002616101777158588,1010067.8943056111
0.003548159224601373,1699153.7822276035,0.002646176769476698,995117.5378476909
0.0034142804760443264,1731812.739954154,0.002612266086647848,996172.6276177799
0.003423980167625766,1744769.2515197685,0.00261029641446938,1000977.8086372481
0.003727926091595768,1659889.897796094,0.002601334669862885,1015016.94792479
0.003466700854790088,1765071.3174570026,0.002609391876058765,1018129.2936294312
0.0036705817645777965,1823215.878799984,0.002593740833227534,999666.6681715632
0.00347091508730905,1690145.0697562918,0.00260544092237321,1018037.7276408442
0.0035266759730790244,1751141.970658728,0.0025815281689346554,1009812.9144697883
0.0034962026295795594,1718356.352670713,0.0025832417911950904,1017313.55741886
0.003684343414240489,1819475.227907279,0.002591067984341139,1006705.6057726559
0.0034941725616153647,1708817.630074178,0.0025994147641404744,1010795.4366092911
0.003508199611572161,1778063.9043165443,0.002601095171398427,1009754.6431707838
0.0034347467638074806,1767129.1144986665,0.0025788835755897214,999060.6895996829
0.003480492378169462,1721020.1671628647,0.0025918673398534217,1025975.4967681209
0.003408471199106297,1739981.2521885384,0.0025736738524837306,1013239.050911174
0.0035566345807719014,1729451.5304124295,0.0025667109097499982,1019640.0444787234
0.0036480493898965946,1821529.5049171557,0.002580111508583089,1017842.8603763148
0.003474120732644057,1727505.9169345065,0.002568743023796972,1031174.1855164825
0.0034538390897043917,1729707.5179447941,0.0025696540979040137,1016592.1339744136
0.003318756475652519,1720323.4790992104,0.00256885576263878,1022309.3226159962
0.00333962213883104,1758901.251311394,0.0025781681747680685,1032626.8456505488
0.003422569205400532,1756441.1698825997,0.0025724638214177755,1015699.2269326451
0.0033848074326628405,1748950.9400727972,0.002565064773143056,1011250.3901673866
0.003391061199816195,1770531.257961559,0.0025549827160942086,1002589.132188211
0.0036407360813454715,1808801.3506737715,0.0025546130962131254,1032004.3742805426
